Description,G1_vertices,G1_edges,G1_density,G2_vertices,G2_edges,G2_density,Exact_result,Exact_elapsed_ms,Exact_distance,GVF2_1_result,GVF2_1_elapsed_ms,GVF2_1_distance,GVF2_10_result,GVF2_10_elapsed_ms,GVF2_10_distance,GVF2_100_result,GVF2_100_elapsed_ms,GVF2_100_distance,GVF2_500_result,GVF2_500_elapsed_ms,GVF2_500_distance
C5_C5_directed-undirected,5,5,1,5,10,2,Success,14.0423,0.6,Success,8.9154,0.6,Success,0.0944,0.6,Success,0.5305,0.6,Success,3.0729,0.6
G8_G5_subgraph5,8,33,4.125,5,14,2.8,Success,14.9873,0.375,Success,0.7332,0.75,Success,0.1376,0.375,Success,0.584,0.375,Success,3.2158,0.375
C5_C5_both-undirected,5,10,2,5,10,2,Success,0.2215,0,Success,0.0571,0,Success,0.111,0,Success,0.6499,0,Success,5.1943,0
G8_G5_subgraph4,8,33,4.125,5,14,2.8,Success,5.6278,0.5,Success,0.0615,0.5,Success,0.0995,0.5,Success,0.6057,0.5,Success,3.224,0.5
G8_G5_subgraph5-with-swapped-verticles,8,33,4.125,5,14,2.8,Success,12.2029,0.375,Success,0.0493,0.375,Success,0.1586,0.375,Success,0.7599,0.375,Success,3.1554,0.375
C5_C6_both-undirected,5,10,2,6,12,2,Success,1.076,0.33333333333333337,Success,0.055,0.33333333333333337,Success,0.1632,0.33333333333333337,Success,0.6404,0.33333333333333337,Success,3.6238,0.33333333333333337
G5_G5_subgraph5_the-same-graphs,5,14,2.8,5,14,2.8,Success,0.3064,0,Success,0.0554,0,Success,0.0944,0,Success,0.6341,0,Success,2.8328,0
K5_G5_isolated,5,20,4,5,0,0,Success,0.1232,0.8,Success,0.0177,0.8,Success,0.0579,0.8,Success,0.5013,0.8,Success,2.1417,0.8
G9_G10_random,9,8,0.8888888888888888,10,9,0.9,Timeout,30000,-1,Success,0.0539,0.6,Success,0.1492,0.4,Success,1.0698,0.30000000000000004,Success,5.0011,0.30000000000000004
G35_G40_random,35,62,1.7714285714285714,40,81,2.025,Timeout,30000,-1,Success,0.1321,0.6,Success,0.683,0.6,Success,7.0253,0.55,Success,34.5583,0.525
G5_G5_with_and_without_loops,5,15,3,5,10,2,Success,0.0929,1,Success,0.0156,1,Success,0.0491,1,Success,0.3257,1,Success,1.7063,1
G5_G5_subgraph1,5,14,2.8,5,9,1.8,Success,0.0822,0.8,Success,0.0322,0.8,Success,0.0607,0.8,Success,0.4745,0.8,Success,2.0719,0.8
G5_G5_subgraph3,5,14,2.8,5,18,3.6,Success,0.4519,0.4,Success,0.0258,0.6,Success,0.0834,0.4,Success,0.5672,0.4,Success,2.8785,0.4
G5_G7_two-extra-isolated-v,5,14,2.8,7,14,2,Success,0.3973,0.2857142857142857,Success,0.0292,0.7142857142857143,Success,0.1261,0.2857142857142857,Success,0.5745,0.2857142857142857,Success,2.8362,0.2857142857142857
C5_C5_both-directed,5,5,1,5,5,1,Success,0.1333,0,Success,0.0441,0,Success,0.1126,0,Success,0.7123,0,Success,3.4795,0
G5_G5_subgraph4,5,14,2.8,5,14,2.8,Success,1.0158,0.19999999999999996,Success,0.0239,0.8,Success,0.1395,0.19999999999999996,Success,0.5655,0.19999999999999996,Success,2.4442,0.19999999999999996
G5_G6_both_isolated,5,0,0,6,0,0,Success,0.1384,0.16666666666666663,Success,0.0533,0.16666666666666663,Success,0.0906,0.16666666666666663,Success,0.9717,0.16666666666666663,Success,3.3201,0.16666666666666663
K5_K6,5,20,4,6,30,5,Success,0.1029,0.16666666666666663,Success,0.0336,0.16666666666666663,Success,0.1414,0.16666666666666663,Success,0.6515,0.16666666666666663,Success,3.331,0.16666666666666663
C5_C6_both-directed,5,5,1,6,6,1,Success,1.0193,0.33333333333333337,Success,0.0592,0.33333333333333337,Success,0.0832,0.33333333333333337,Success,0.6927,0.33333333333333337,Success,3.4708,0.33333333333333337
K5_K5,5,20,4,5,20,4,Success,0.1293,0,Success,0.0302,0,Success,0.0907,0,Success,0.6178,0,Success,3.3556,0
G10_G15_random,10,9,0.9,15,27,1.8,Timeout,30000,-1,Success,0.1422,0.6,Success,0.2112,0.5333333333333333,Success,1.2253,0.4666666666666667,Success,6.3824,0.4666666666666667
G5_G5_subgraph5_the-same-graphs-with-swapped-verticles,5,14,2.8,5,14,2.8,Success,1.2783,0,Success,0.1062,0.6,Success,0.136,0,Success,0.6166,0,Success,2.7797,0
random graphs with same density,3,2,0.6666666666666666,3,2,0.6666666666666666,Success,0.0396,0.33333333333333337,Success,0.0116,0.33333333333333337,Success,0.0694,0.33333333333333337,Success,0.4451,0.33333333333333337,Success,2.1278,0.33333333333333337
random graphs with same density,4,2,0.5,3,2,0.6666666666666666,Success,0.0811,0.5,Success,0.0149,0.5,Success,0.0814,0.5,Success,0.7564,0.5,Success,2.0352,0.5
random graphs with same density,4,2,0.5,4,2,0.5,Success,0.1992,0,Success,0.0873,0,Success,0.1109,0,Success,0.5298,0,Success,2.8813,0
random graphs with same density,5,3,0.6,3,2,0.6666666666666666,Success,0.0553,0.6,Success,0.0409,0.6,Success,0.0681,0.6,Success,0.5251,0.6,Success,2.1928,0.6
random graphs with same density,5,3,0.6,4,2,0.5,Success,0.3575,0.4,Success,0.0634,0.8,Success,0.1175,0.6,Success,0.4259,0.6,Success,2.2858,0.6
random graphs with same density,5,3,0.6,5,3,0.6,Success,0.4723,0.19999999999999996,Success,0.0578,0.19999999999999996,Success,0.093,0.19999999999999996,Success,0.5956,0.19999999999999996,Success,2.7095,0.19999999999999996
random graphs with same density,6,3,0.5,3,2,0.6666666666666666,Success,0.7314,0.6666666666666667,Success,0.0246,1,Success,0.0635,0.6666666666666667,Success,0.4605,0.6666666666666667,Success,1.9421,0.6666666666666667
random graphs with same density,6,3,0.5,4,2,0.5,Success,0.5998,0.5,Success,0.0286,0.5,Success,0.0861,0.5,Success,0.5334,0.5,Success,3.0837,0.5
random graphs with same density,6,3,0.5,5,3,0.6,Success,2.2219,0.33333333333333337,Success,0.032,0.33333333333333337,Success,0.0732,0.33333333333333337,Success,0.5877,0.33333333333333337,Success,3.3506,0.33333333333333337
random graphs with same density,6,3,0.5,6,3,0.5,Success,5.4225,0.33333333333333337,Success,0.0825,0.6666666666666667,Success,0.1153,0.5,Success,0.5274,0.33333333333333337,Success,2.5347,0.33333333333333337
random graphs with same density,7,4,0.5714285714285714,3,2,0.6666666666666666,Success,0.2579,0.7142857142857143,Success,0.0311,0.8571428571428572,Success,0.0656,0.8571428571428572,Success,0.4394,0.8571428571428572,Success,1.9176,0.8571428571428572
random graphs with same density,7,4,0.5714285714285714,4,2,0.5,Success,1.3862,0.5714285714285714,Success,0.0608,0.7142857142857143,Success,0.0636,0.5714285714285714,Success,0.5314,0.5714285714285714,Success,2.6997,0.5714285714285714
random graphs with same density,7,4,0.5714285714285714,5,3,0.6,Success,5.5573,0.4285714285714286,Success,0.0357,0.5714285714285714,Success,0.0736,0.4285714285714286,Success,0.6104,0.4285714285714286,Success,3.1123,0.4285714285714286
random graphs with same density,7,4,0.5714285714285714,6,3,0.5,Success,6.4963,0.4285714285714286,Success,0.0518,0.5714285714285714,Success,0.081,0.4285714285714286,Success,0.5742,0.4285714285714286,Success,2.9055,0.4285714285714286
random graphs with same density,7,4,0.5714285714285714,7,4,0.5714285714285714,Success,0.1435,0.2857142857142857,Success,0.0244,0.2857142857142857,Success,0.1122,0.2857142857142857,Success,0.7045,0.2857142857142857,Success,4.4945,0.2857142857142857
random graphs with same density,8,4,0.5,3,2,0.6666666666666666,Success,0.3674,0.75,Success,0.0614,1,Success,0.0496,0.75,Success,0.3953,0.75,Success,1.8664,0.75
random graphs with same density,8,4,0.5,4,2,0.5,Success,2.0766,0.5,Success,0.0276,0.625,Success,0.0655,0.5,Success,0.5597,0.5,Success,2.4168,0.5
random graphs with same density,8,4,0.5,5,3,0.6,Success,10.5674,0.5,Success,0.0364,0.625,Success,0.0624,0.625,Success,0.5335,0.625,Success,2.8326,0.625
random graphs with same density,8,4,0.5,6,3,0.5,Success,48.7462,0.5,Success,0.0534,0.875,Success,0.1179,0.5,Success,0.6792,0.5,Success,2.6488,0.5
random graphs with same density,8,4,0.5,7,4,0.5714285714285714,Success,184.2309,0.375,Success,0.0392,0.875,Success,0.0894,0.75,Success,0.4254,0.5,Success,1.9461,0.5
random graphs with same density,8,4,0.5,8,4,0.5,Success,641.5282,0.25,Success,0.0381,0.75,Success,0.0624,0.375,Success,0.5038,0.375,Success,2.2809,0.375
random graphs with same density,9,5,0.5555555555555556,3,2,0.6666666666666666,Success,1.1738,0.7777777777777778,Success,0.0281,0.7777777777777778,Success,0.0555,0.7777777777777778,Success,0.4689,0.7777777777777778,Success,2.2026,0.7777777777777778
random graphs with same density,9,5,0.5555555555555556,4,2,0.5,Success,3.8603,0.5555555555555556,Success,0.0477,0.5555555555555556,Success,0.0728,0.5555555555555556,Success,0.5629,0.5555555555555556,Success,2.988,0.5555555555555556
random graphs with same density,9,5,0.5555555555555556,5,3,0.6,Success,22.0052,0.5555555555555556,Success,0.0427,0.7777777777777778,Success,0.0816,0.6666666666666667,Success,0.524,0.6666666666666667,Success,2.6796,0.6666666666666667
random graphs with same density,9,5,0.5555555555555556,6,3,0.5,Success,21.8372,0.4444444444444444,Success,0.0995,0.5555555555555556,Success,0.0766,0.5555555555555556,Success,0.6322,0.5555555555555556,Success,3.2697,0.5555555555555556
random graphs with same density,9,5,0.5555555555555556,7,4,0.5714285714285714,Success,503.0327,0.33333333333333337,Success,0.062,0.4444444444444444,Success,0.1032,0.4444444444444444,Success,0.7263,0.33333333333333337,Success,3.766,0.33333333333333337
random graphs with same density,9,5,0.5555555555555556,8,4,0.5,Success,446.2226,0.33333333333333337,Success,0.059,0.4444444444444444,Success,0.166,0.33333333333333337,Success,0.8541,0.33333333333333337,Success,4.3011,0.33333333333333337
random graphs with same density,9,5,0.5555555555555556,9,5,0.5555555555555556,Success,4990.611,0.11111111111111116,Success,0.0411,0.33333333333333337,Success,0.1482,0.2222222222222222,Success,0.9299,0.11111111111111116,Success,4.481,0.11111111111111116
random graphs with same density,3,3,1,3,3,1,Success,0.1445,0.33333333333333337,Success,0.0174,0.33333333333333337,Success,0.0521,0.33333333333333337,Success,0.3784,0.33333333333333337,Success,1.871,0.33333333333333337
random graphs with same density,4,4,1,3,3,1,Success,0.0678,0.5,Success,0.0267,0.5,Success,0.0962,0.5,Success,0.3973,0.5,Success,1.5866,0.5
random graphs with same density,4,4,1,4,4,1,Success,0.1891,0.5,Success,0.0218,0.5,Success,0.0505,0.5,Success,0.3966,0.5,Success,1.9748,0.5
random graphs with same density,5,5,1,3,3,1,Success,0.1717,0.6,Success,0.0247,0.8,Success,0.0501,0.6,Success,0.3773,0.6,Success,1.6689,0.6
random graphs with same density,5,5,1,4,4,1,Success,0.2171,0.4,Success,0.0461,0.6,Success,0.0909,0.6,Success,0.4304,0.6,Success,1.9098,0.6
random graphs with same density,5,5,1,5,5,1,Success,0.3585,0.19999999999999996,Success,0.0268,0.4,Success,0.1196,0.4,Success,0.5752,0.19999999999999996,Success,2.5983,0.19999999999999996
random graphs with same density,6,6,1,3,3,1,Success,0.146,0.6666666666666667,Success,0.0325,0.6666666666666667,Success,0.0881,0.6666666666666667,Success,0.4505,0.6666666666666667,Success,2.1577,0.6666666666666667
random graphs with same density,6,6,1,4,4,1,Success,0.5219,0.5,Success,0.0683,0.5,Success,0.0912,0.5,Success,0.4945,0.5,Success,2.5551,0.5
random graphs with same density,6,6,1,5,5,1,Success,1.0664,0.33333333333333337,Success,0.0299,0.33333333333333337,Success,0.1928,0.33333333333333337,Success,0.5401,0.33333333333333337,Success,2.5152,0.33333333333333337
random graphs with same density,6,6,1,6,6,1,Success,4.5513,0.33333333333333337,Success,0.0305,0.5,Success,0.1144,0.33333333333333337,Success,0.5439,0.33333333333333337,Success,3.0786,0.33333333333333337
random graphs with same density,7,7,1,3,3,1,Success,0.1052,0.8571428571428572,Success,0.0848,1,Success,0.1299,0.8571428571428572,Success,0.3751,0.8571428571428572,Success,1.7063,0.8571428571428572
random graphs with same density,7,7,1,4,4,1,Success,0.6732,0.5714285714285714,Success,0.0191,0.7142857142857143,Success,0.0691,0.7142857142857143,Success,0.4542,0.7142857142857143,Success,2.9243,0.7142857142857143
random graphs with same density,7,7,1,5,5,1,Success,4.3582,0.4285714285714286,Success,0.0286,0.5714285714285714,Success,0.0769,0.4285714285714286,Success,0.5766,0.4285714285714286,Success,3.6208,0.4285714285714286
random graphs with same density,7,7,1,6,6,1,Success,8.3162,0.4285714285714286,Success,0.126,0.4285714285714286,Success,0.1075,0.4285714285714286,Success,0.6131,0.4285714285714286,Success,3.2402,0.4285714285714286
random graphs with same density,7,7,1,7,7,1,Success,42.1011,0.2857142857142857,Success,0.0713,0.4285714285714286,Success,0.1255,0.4285714285714286,Success,0.6657,0.4285714285714286,Success,3.3491,0.4285714285714286
random graphs with same density,8,8,1,3,3,1,Success,0.2535,0.75,Success,0.0567,0.75,Success,0.0774,0.75,Success,0.5134,0.75,Success,2.1295,0.75
random graphs with same density,8,8,1,4,4,1,Success,0.3792,0.625,Success,0.0576,0.875,Success,0.1119,0.75,Success,0.4668,0.75,Success,2.0395,0.75
random graphs with same density,8,8,1,5,5,1,Success,5.6935,0.5,Success,0.1127,0.75,Success,0.0867,0.625,Success,0.423,0.625,Success,2.1045,0.625
random graphs with same density,8,8,1,6,6,1,Success,17.7902,0.375,Success,0.1394,0.5,Success,0.0774,0.5,Success,0.66,0.375,Success,3.4625,0.375
random graphs with same density,8,8,1,7,7,1,Success,130.8952,0.25,Success,0.0313,0.75,Success,0.1057,0.5,Success,0.6972,0.375,Success,3.3405,0.375
random graphs with same density,8,8,1,8,8,1,Success,361.5592,0.25,Success,0.0358,0.5,Success,0.1985,0.25,Success,0.8295,0.25,Success,3.5707,0.25
random graphs with same density,9,9,1,3,3,1,Success,0.1973,0.8888888888888888,Success,0.0147,1,Success,0.0594,0.8888888888888888,Success,0.3754,0.8888888888888888,Success,1.5947,0.8888888888888888
random graphs with same density,9,9,1,4,4,1,Success,2.7571,0.6666666666666667,Success,0.025,0.7777777777777778,Success,0.1423,0.6666666666666667,Success,0.5055,0.6666666666666667,Success,2.6814,0.6666666666666667
random graphs with same density,9,9,1,5,5,1,Success,3.2972,0.6666666666666667,Success,0.0285,0.6666666666666667,Success,0.1176,0.6666666666666667,Success,0.5256,0.6666666666666667,Success,2.2757,0.6666666666666667
random graphs with same density,9,9,1,6,6,1,Success,69.219,0.4444444444444444,Success,0.1057,0.5555555555555556,Success,0.1254,0.5555555555555556,Success,0.893,0.5555555555555556,Success,2.827,0.5555555555555556
random graphs with same density,9,9,1,7,7,1,Success,301.8373,0.4444444444444444,Success,0.1148,0.5555555555555556,Success,0.1594,0.4444444444444444,Success,0.716,0.4444444444444444,Success,3.7432,0.4444444444444444
random graphs with same density,9,9,1,8,8,1,Success,498.5177,0.33333333333333337,Success,0.0644,0.4444444444444444,Success,0.1607,0.33333333333333337,Success,0.8218,0.33333333333333337,Success,4.3776,0.33333333333333337
random graphs with same density,9,9,1,9,9,1,Success,2572.8635,0.4444444444444444,Success,0.0444,0.4444444444444444,Success,0.0994,0.4444444444444444,Success,0.8395,0.4444444444444444,Success,4.1597,0.4444444444444444
random graphs with same density,3,5,1.6666666666666667,3,5,1.6666666666666667,Success,0.0489,0.33333333333333337,Success,0.011,0.33333333333333337,Success,0.0523,0.33333333333333337,Success,0.401,0.33333333333333337,Success,1.9515,0.33333333333333337
random graphs with same density,4,6,1.5,3,5,1.6666666666666667,Success,0.1049,0.5,Success,0.0332,0.5,Success,0.0499,0.5,Success,1.0722,0.5,Success,1.9646,0.5
random graphs with same density,4,6,1.5,4,6,1.5,Success,0.11,0.5,Success,0.0288,0.75,Success,0.0773,0.75,Success,0.3857,0.75,Success,1.699,0.75
random graphs with same density,5,8,1.6,3,5,1.6666666666666667,Success,0.1104,0.6,Success,0.0359,0.6,Success,0.0759,0.6,Success,0.7772,0.6,Success,2.1292,0.6
random graphs with same density,5,8,1.6,4,6,1.5,Success,0.074,0.6,Success,0.0289,0.6,Success,0.1113,0.6,Success,0.4048,0.6,Success,2.0311,0.6
random graphs with same density,5,8,1.6,5,8,1.6,Success,0.8214,0.4,Success,0.0324,0.6,Success,0.0591,0.4,Success,0.4494,0.4,Success,2.1363,0.4
random graphs with same density,6,9,1.5,3,5,1.6666666666666667,Success,0.1376,0.6666666666666667,Success,0.0223,0.8333333333333334,Success,0.0604,0.6666666666666667,Success,0.4357,0.6666666666666667,Success,2.2244,0.6666666666666667
random graphs with same density,6,9,1.5,4,6,1.5,Success,0.1708,0.5,Success,0.0892,0.5,Success,0.1065,0.5,Success,0.502,0.5,Success,2.307,0.5
random graphs with same density,6,9,1.5,5,8,1.6,Success,1.0485,0.6666666666666667,Success,0.0276,0.6666666666666667,Success,0.1145,0.6666666666666667,Success,0.4543,0.6666666666666667,Success,2.095,0.6666666666666667
random graphs with same density,6,9,1.5,6,9,1.5,Success,2.827,0.33333333333333337,Success,0.0792,0.6666666666666667,Success,0.0778,0.33333333333333337,Success,0.5665,0.33333333333333337,Success,2.8257,0.33333333333333337
random graphs with same density,7,11,1.5714285714285714,3,5,1.6666666666666667,Success,0.177,0.7142857142857143,Success,0.0518,0.7142857142857143,Success,0.0481,0.7142857142857143,Success,0.5669,0.7142857142857143,Success,2.174,0.7142857142857143
random graphs with same density,7,11,1.5714285714285714,4,6,1.5,Success,0.6353,0.5714285714285714,Success,0.0405,0.7142857142857143,Success,0.0568,0.5714285714285714,Success,0.4581,0.5714285714285714,Success,2.6054,0.5714285714285714
random graphs with same density,7,11,1.5714285714285714,5,8,1.6,Success,3.2572,0.5714285714285714,Success,0.0335,0.5714285714285714,Success,0.0708,0.5714285714285714,Success,0.4794,0.5714285714285714,Success,2.3686,0.5714285714285714
random graphs with same density,7,11,1.5714285714285714,6,9,1.5,Success,3.8878,0.5714285714285714,Success,0.0664,0.7142857142857143,Success,0.1466,0.5714285714285714,Success,0.6172,0.5714285714285714,Success,2.9722,0.5714285714285714
random graphs with same density,7,11,1.5714285714285714,7,11,1.5714285714285714,Success,23.5158,0.4285714285714286,Success,0.041,0.5714285714285714,Success,0.445,0.4285714285714286,Success,0.6768,0.4285714285714286,Success,3.1237,0.4285714285714286
random graphs with same density,8,12,1.5,3,5,1.6666666666666667,Success,0.1428,0.75,Success,0.0221,0.75,Success,0.068,0.75,Success,0.4495,0.75,Success,2.4635,0.75
random graphs with same density,8,12,1.5,4,6,1.5,Success,0.8858,0.75,Success,0.0549,1,Success,0.0549,0.75,Success,0.3896,0.75,Success,1.9771,0.75
random graphs with same density,8,12,1.5,5,8,1.6,Success,4.4061,0.625,Success,0.0987,0.625,Success,0.1197,0.625,Success,0.5701,0.625,Success,2.6076,0.625
random graphs with same density,8,12,1.5,6,9,1.5,Success,12.0546,0.5,Success,0.0648,0.625,Success,0.0908,0.5,Success,0.5736,0.5,Success,2.702,0.5
random graphs with same density,8,12,1.5,7,11,1.5714285714285714,Success,50.8971,0.375,Success,0.0753,0.5,Success,0.1003,0.5,Success,0.9797,0.375,Success,3.2458,0.375
random graphs with same density,8,12,1.5,8,12,1.5,Success,264.0883,0.375,Success,0.1252,0.375,Success,0.1212,0.375,Success,0.7059,0.375,Success,3.5157,0.375
random graphs with same density,9,14,1.5555555555555556,3,5,1.6666666666666667,Success,0.2202,0.7777777777777778,Success,0.0332,0.8888888888888888,Success,0.0509,0.7777777777777778,Success,0.5799,0.7777777777777778,Success,1.8528,0.7777777777777778
random graphs with same density,9,14,1.5555555555555556,4,6,1.5,Success,1.1318,0.6666666666666667,Success,0.0619,0.7777777777777778,Success,0.1792,0.7777777777777778,Success,0.4586,0.7777777777777778,Success,1.8929,0.7777777777777778
random graphs with same density,9,14,1.5555555555555556,5,8,1.6,Success,2.8691,0.6666666666666667,Success,0.0268,0.6666666666666667,Success,0.0733,0.6666666666666667,Success,0.5647,0.6666666666666667,Success,2.4526,0.6666666666666667
random graphs with same density,9,14,1.5555555555555556,6,9,1.5,Success,37.4751,0.5555555555555556,Success,0.1116,0.6666666666666667,Success,0.1309,0.5555555555555556,Success,0.659,0.5555555555555556,Success,3.2106,0.5555555555555556
random graphs with same density,9,14,1.5555555555555556,7,11,1.5714285714285714,Success,174.8883,0.4444444444444444,Success,0.0349,0.5555555555555556,Success,0.0959,0.5555555555555556,Success,0.9568,0.5555555555555556,Success,3.0151,0.5555555555555556
random graphs with same density,9,14,1.5555555555555556,8,12,1.5,Success,514.9748,0.4444444444444444,Success,0.128,0.5555555555555556,Success,0.1234,0.4444444444444444,Success,1.144,0.4444444444444444,Success,3.542,0.4444444444444444
random graphs with same density,9,14,1.5555555555555556,9,14,1.5555555555555556,Success,2337.0042,0.33333333333333337,Success,0.0233,0.5555555555555556,Success,0.1336,0.33333333333333337,Success,1.139,0.33333333333333337,Success,3.7613,0.33333333333333337
random graphs with same density,3,6,2,3,6,2,Success,0.0799,0.33333333333333337,Success,0.0102,0.33333333333333337,Success,0.0594,0.33333333333333337,Success,0.7315,0.33333333333333337,Success,1.8104,0.33333333333333337
random graphs with same density,4,12,3,3,6,2,Success,0.0982,0.75,Success,0.0094,1,Success,0.0406,1,Success,0.393,1,Success,1.316,1
random graphs with same density,4,12,3,4,12,3,Success,0.1964,0.25,Success,0.0277,0.75,Success,0.1018,0.5,Success,0.4722,0.5,Success,2.2088,0.5
random graphs with same density,5,15,3,3,6,2,Success,0.0947,0.6,Success,0.0096,0.8,Success,0.112,0.6,Success,0.6027,0.6,Success,1.8449,0.6
random graphs with same density,5,15,3,4,12,3,Success,0.1868,0.4,Success,0.0206,0.8,Success,0.0862,0.6,Success,0.4432,0.6,Success,2.1557,0.6
random graphs with same density,5,15,3,5,15,3,Success,0.416,0.6,Success,0.0696,0.6,Success,0.1264,0.6,Success,0.5097,0.6,Success,2.1567,0.6
random graphs with same density,6,18,3,3,6,2,Success,0.1366,0.6666666666666667,Success,0.0174,0.8333333333333334,Success,0.0741,0.6666666666666667,Success,0.7142,0.6666666666666667,Success,1.8669,0.6666666666666667
random graphs with same density,6,18,3,4,12,3,Success,0.1036,0.6666666666666667,Success,0.0112,0.6666666666666667,Success,0.0817,0.6666666666666667,Success,0.4488,0.6666666666666667,Success,2.38,0.6666666666666667
random graphs with same density,6,18,3,5,15,3,Success,0.3271,0.6666666666666667,Success,0.0277,0.8333333333333334,Success,0.0711,0.6666666666666667,Success,0.4313,0.6666666666666667,Success,2.0936,0.6666666666666667
random graphs with same density,6,18,3,6,18,3,Success,1.9039,0.33333333333333337,Success,0.0544,0.6666666666666667,Success,0.0914,0.33333333333333337,Success,0.5135,0.33333333333333337,Success,2.4074,0.33333333333333337
random graphs with same density,7,21,3,3,6,2,Success,0.1788,0.7142857142857143,Success,0.0387,0.8571428571428572,Success,0.0537,0.7142857142857143,Success,0.3917,0.7142857142857143,Success,2.2224,0.7142857142857143
random graphs with same density,7,21,3,4,12,3,Success,0.3143,0.7142857142857143,Success,0.0418,0.8571428571428572,Success,0.0543,0.7142857142857143,Success,0.4938,0.7142857142857143,Success,2.1911,0.7142857142857143
random graphs with same density,7,21,3,5,15,3,Success,1.5044,0.7142857142857143,Success,0.034,0.7142857142857143,Success,0.1033,0.7142857142857143,Success,0.4787,0.7142857142857143,Success,2.7966,0.7142857142857143
random graphs with same density,7,21,3,6,18,3,Success,1.7518,0.5714285714285714,Success,0.0286,0.7142857142857143,Success,0.0737,0.5714285714285714,Success,0.5388,0.5714285714285714,Success,2.6289,0.5714285714285714
random graphs with same density,7,21,3,7,21,3,Success,9.197,0.5714285714285714,Success,0.0736,0.7142857142857143,Success,0.1515,0.5714285714285714,Success,0.628,0.5714285714285714,Success,2.8686,0.5714285714285714
random graphs with same density,8,24,3,3,6,2,Success,0.0921,0.75,Success,0.0241,0.75,Success,0.08,0.75,Success,0.595,0.75,Success,2.6999,0.75
random graphs with same density,8,24,3,4,12,3,Success,0.5424,0.75,Success,0.0259,0.75,Success,0.1115,0.75,Success,0.4922,0.75,Success,2.2641,0.75
random graphs with same density,8,24,3,5,15,3,Success,1.231,0.625,Success,0.0296,0.75,Success,0.0981,0.75,Success,0.5543,0.75,Success,2.4139,0.75
random graphs with same density,8,24,3,6,18,3,Success,6.183,0.5,Success,0.0468,0.625,Success,0.0981,0.625,Success,0.5876,0.625,Success,3.3781,0.625
random graphs with same density,8,24,3,7,21,3,Success,10.8668,0.625,Success,0.0646,0.75,Success,0.1085,0.625,Success,0.6466,0.625,Success,3.0274,0.625
random graphs with same density,8,24,3,8,24,3,Success,48.4534,0.5,Success,0.0606,0.625,Success,0.1003,0.625,Success,0.663,0.625,Success,3.1266,0.625
random graphs with same density,9,27,3,3,6,2,Success,0.2075,0.7777777777777778,Success,0.0612,0.8888888888888888,Success,0.053,0.8888888888888888,Success,0.4426,0.8888888888888888,Success,1.879,0.8888888888888888
random graphs with same density,9,27,3,4,12,3,Success,0.345,0.7777777777777778,Success,0.0257,0.7777777777777778,Success,0.0656,0.7777777777777778,Success,0.458,0.7777777777777778,Success,2.6074,0.7777777777777778
random graphs with same density,9,27,3,5,15,3,Success,3.2461,0.6666666666666667,Success,0.0287,0.7777777777777778,Success,0.1249,0.6666666666666667,Success,0.5578,0.6666666666666667,Success,2.4899,0.6666666666666667
random graphs with same density,9,27,3,6,18,3,Success,12.9348,0.5555555555555556,Success,0.0797,0.7777777777777778,Success,0.0757,0.6666666666666667,Success,0.5846,0.6666666666666667,Success,3.0608,0.6666666666666667
random graphs with same density,9,27,3,7,21,3,Success,55.7679,0.5555555555555556,Success,0.0617,0.6666666666666667,Success,0.0989,0.5555555555555556,Success,0.6472,0.5555555555555556,Success,3.4595,0.5555555555555556
random graphs with same density,9,27,3,8,24,3,Success,98.442,0.5555555555555556,Success,0.1317,0.7777777777777778,Success,0.1178,0.5555555555555556,Success,0.699,0.5555555555555556,Success,3.3325,0.5555555555555556
random graphs with same density,9,27,3,9,27,3,Success,301.9081,0.4444444444444444,Success,0.0704,0.6666666666666667,Success,0.091,0.6666666666666667,Success,0.721,0.5555555555555556,Success,3.4722,0.5555555555555556
random graphs with same density,3,6,2,3,6,2,Success,0.1155,0.33333333333333337,Success,0.0092,0.6666666666666667,Success,0.053,0.6666666666666667,Success,0.3704,0.6666666666666667,Success,1.6915,0.6666666666666667
random graphs with same density,4,12,3,3,6,2,Success,0.1085,0.5,Success,0.0166,0.5,Success,0.0471,0.5,Success,0.4645,0.5,Success,2.3957,0.5
random graphs with same density,4,12,3,4,12,3,Success,0.0787,0.5,Success,0.0194,1,Success,0.0648,0.75,Success,0.3264,0.75,Success,1.4987,0.75
random graphs with same density,5,20,4,3,6,2,Success,0.1376,0.6,Success,0.0319,0.6,Success,0.0618,0.6,Success,0.4603,0.6,Success,2.4503,0.6
random graphs with same density,5,20,4,4,12,3,Success,0.2924,0.4,Success,0.0276,0.6,Success,0.087,0.6,Success,0.4603,0.6,Success,2.0422,0.6
random graphs with same density,5,20,4,5,20,4,Success,0.5899,0.4,Success,0.0287,0.8,Success,0.1198,0.4,Success,0.7889,0.4,Success,2.0596,0.4
random graphs with same density,6,30,5,3,6,2,Success,0.2376,0.6666666666666667,Success,0.0237,0.8333333333333334,Success,0.0571,0.6666666666666667,Success,0.3944,0.6666666666666667,Success,2.2045,0.6666666666666667
random graphs with same density,6,30,5,4,12,3,Success,0.4434,0.5,Success,0.0274,0.6666666666666667,Success,0.09,0.6666666666666667,Success,0.5029,0.6666666666666667,Success,2.3715,0.6666666666666667
random graphs with same density,6,30,5,5,20,4,Success,2.1577,0.5,Success,0.0255,0.6666666666666667,Success,0.1326,0.5,Success,0.5203,0.5,Success,2.3392,0.5
